case_id,article_id,nodes,edges,same_as_edges,case_concepts,article_mesh_terms,overlap,overlap_ratio_of_article_terms
PMC5137649_01,PMC5137649,20,19,7,7,11,1,0.091
PMC9387390_01,PMC9387390,16,15,5,5,9,2,0.222
PMC3437073_01,PMC3437073,9,8,3,3,1,0,0.000
PMC7102447_01,PMC7102447,10,9,3,3,1,0,0.000
PMC6354154_01,PMC6354154,6,5,1,1,1,0,0.000
PMC4782471_01,PMC4782471,16,15,4,4,1,0,0.000
PMC4835621_01,PMC4835621,15,14,5,5,0,0,
PMC8627357_01,PMC8627357,3,2,0,0,1,0,0.000
PMC5833205_01,PMC5833205,8,7,2,2,0,0,
PMC3917415_01,PMC3917415,4,3,1,1,0,0,
PMC7718649_01,PMC7718649,12,11,4,4,1,0,0.000
PMC6134951_01,PMC6134951,8,7,3,3,1,0,0.000
PMC6343374_01,PMC6343374,9,8,0,0,1,0,0.000
PMC9529523_01,PMC9529523,8,7,3,3,1,0,0.000
PMC9532611_01,PMC9532611,2,1,0,0,1,0,0.000
PMC9532611_02,PMC9532611,2,1,0,0,1,0,0.000
PMC5875137_01,PMC5875137,3,2,0,0,1,0,0.000
PMC6949661_01,PMC6949661,4,3,1,1,1,0,0.000
PMC10405809_01,PMC10405809,9,8,3,3,1,0,0.000
PMC7519975_01,PMC7519975,13,13,5,4,1,0,0.000
PMC3950436_01,PMC3950436,5,4,1,1,1,0,0.000
PMC10434843_01,PMC10434843,3,2,0,0,1,0,0.000
PMC4630775_01,PMC4630775,5,4,1,1,1,0,0.000
PMC2700431_01,PMC2700431,2,1,0,0,1,0,0.000
PMC10106591_01,PMC10106591,14,13,3,3,1,0,0.000
PMC4073451_01,PMC4073451,1,0,0,0,1,0,0.000
PMC6083636_01,PMC6083636,3,2,0,0,1,0,0.000
PMC6083636_02,PMC6083636,1,0,0,0,1,0,0.000
PMC6083636_03,PMC6083636,1,0,0,0,1,0,0.000
PMC9969157_01,PMC9969157,14,13,1,1,1,0,0.000
PMC4828947_01,PMC4828947,17,16,7,7,1,0,0.000
PMC7086412_01,PMC7086412,4,3,1,1,1,0,0.000
PMC7086412_02,PMC7086412,5,4,1,1,1,0,0.000
PMC3557982_01,PMC3557982,8,8,3,2,14,0,0.000
PMC9815523_01,PMC9815523,25,25,4,3,0,0,
PMC4310058_01,PMC4310058,2,1,0,0,1,0,0.000
PMC3859158_01,PMC3859158,5,4,1,1,0,0,
PMC9650410_01,PMC9650410,3,2,1,1,0,0,
PMC5804616_01,PMC5804616,9,8,2,2,0,0,
PMC3897989_01,PMC3897989,14,13,3,3,9,0,0.000
PMC2817501_01,PMC2817501,2,1,0,0,1,0,0.000
PMC11131390_01,PMC11131390,8,7,2,2,1,0,0.000
PMC10521634_01,PMC10521634,3,2,0,0,1,0,0.000
PMC10710131_01,PMC10710131,2,1,0,0,7,0,0.000
PMC10488652_01,PMC10488652,21,20,9,9,1,0,0.000
PMC11420039_01,PMC11420039,26,25,6,6,9,2,0.222
PMC11259348_01,PMC11259348,6,5,1,1,1,0,0.000
PMC11259348_02,PMC11259348,1,0,0,0,1,0,0.000
PMC11368112_01,PMC11368112,19,18,5,5,1,0,0.000
PMC11345641_01,PMC11345641,4,3,1,1,1,0,0.000
PMC11723754_01,PMC11723754,5,4,1,1,0,0,
PMC11783470_01,PMC11783470,14,13,4,4,9,0,0.000
PMC11722600_01,PMC11722600,3,2,0,0,1,0,0.000
PMC11722600_02,PMC11722600,10,9,2,2,1,0,0.000
PMC12215201_01,PMC12215201,22,21,8,8,1,0,0.000
PMC12832199_01,PMC12832199,14,13,4,4,1,0,0.000
