case_id,status,nos,arestas,evidencias_desalinhadas,arestas_fora_do_dominio,tempo_s,erro
PMC5137649_01,ok,45,54,0,0,0.116084,
PMC9387390_01,ok,27,32,0,0,0.111344,
PMC3437073_01,ok,24,29,0,0,0.044327,
PMC7102447_01,ok,20,20,0,0,0.043004,
PMC6354154_01,ok,6,6,0,0,0.047539,
PMC4782471_01,ok,26,25,0,0,0.301409,
PMC4835621_01,ok,54,54,0,0,0.129172,
PMC8627357_01,ok,12,11,0,0,0.077247,
PMC5833205_01,ok,29,30,0,0,0.075050,
PMC3917415_01,ok,18,18,0,0,0.056552,
PMC7718649_01,ok,38,39,0,0,0.146879,
PMC6134951_01,ok,15,16,0,0,0.154017,
PMC6343374_01,ok,18,17,0,0,0.147321,
PMC9529523_01,ok,65,68,0,0,0.192386,
PMC9532611_01,ok,4,3,0,0,0.037717,
PMC9532611_02,ok,1,0,0,0,0.047759,
PMC5875137_01,ok,4,3,0,0,0.028807,
PMC6949661_01,ok,10,10,0,0,0.052501,
PMC10405809_01,ok,12,11,0,0,0.029335,
PMC7519975_01,ok,24,23,0,0,0.076086,
PMC3950436_01,ok,16,15,0,0,0.102461,
PMC10434843_01,ok,30,29,0,0,0.170190,
PMC4630775_01,ok,10,9,0,0,0.015502,
PMC2700431_01,ok,4,3,0,0,0.027230,
PMC10106591_01,ok,43,44,0,0,0.206512,
PMC4073451_01,ok,13,12,0,0,0.071305,
PMC6083636_01,ok,2,1,0,0,0.036639,
PMC6083636_02,ok,1,0,0,0,0.032720,
PMC6083636_03,ok,3,2,0,0,0.024738,
PMC9969157_01,ok,19,20,0,0,0.133080,
PMC4828947_01,ok,14,14,0,0,0.086015,
PMC7086412_01,ok,5,4,0,0,0.051688,
PMC7086412_02,ok,16,15,0,0,0.094379,
PMC3557982_01,ok,6,7,0,0,0.085427,
PMC9815523_01,ok,34,33,0,0,0.109804,
PMC4310058_01,ok,9,8,0,0,0.073385,
PMC3859158_01,ok,12,11,0,0,0.067654,
PMC9650410_01,ok,5,4,0,0,0.214128,
PMC5804616_01,ok,23,22,0,0,0.204778,
PMC3897989_01,ok,63,65,0,0,0.232886,
PMC2817501_01,ok,6,5,0,0,0.024964,
PMC11131390_01,ok,11,10,0,0,0.114414,
PMC10521634_01,ok,19,18,0,0,0.079970,
PMC10710131_01,ok,1,0,0,0,0.034118,
PMC10488652_01,ok,23,23,0,0,0.062026,
PMC11420039_01,ok,35,38,0,0,0.325322,
PMC11259348_01,ok,7,7,0,0,0.020030,
PMC11259348_02,ok,11,10,0,0,0.080992,
PMC11368112_01,ok,28,27,0,0,0.084223,
PMC11345641_01,ok,22,22,0,0,0.124648,
PMC11723754_01,ok,8,7,0,0,0.060456,
PMC11783470_01,ok,19,21,0,0,0.070251,
PMC11722600_01,ok,20,20,0,0,0.085368,
PMC11722600_02,ok,35,35,0,0,0.106780,
PMC12215201_01,ok,42,41,0,0,0.074966,
PMC12832199_01,ok,24,24,0,0,0.085979,
